Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=829.133333 | time_average=0.075854s
e1_easy: reward_average=772.000000 | time_average=0.080509s
e2_easy: reward_average=654.066667 | time_average=0.048664s
e3_easy: reward_average=618.700000 | time_average=0.307265s
e4_easy: reward_average=873.533333 | time_average=0.060950s
e5_easy: reward_average=703.900000 | time_average=0.072118s
m1_easy: reward_average=559.666667 | time_average=0.589440s
m2_easy: reward_average=589.366667 | time_average=1.356591s
m3_easy: reward_average=579.833333 | time_average=3.064535s
m4_easy: reward_average=684.633333 | time_average=0.728015s
m5_easy: reward_average=595.133333 | time_average=0.391208s
rl_easy: reward_average=2755.133333 | time_average=0.097333s
p1_med: reward_average=1171.333333 | time_average=0.101573s
e1_med: reward_average=1107.533333 | time_average=0.113093s
e2_med: reward_average=924.766667 | time_average=0.068141s
e3_med: reward_average=896.166667 | time_average=0.440597s
e4_med: reward_average=1240.466667 | time_average=0.080106s
e5_med: reward_average=1005.333333 | time_average=0.104195s
m1_med: reward_average=805.533333 | time_average=0.807916s
m2_med: reward_average=846.100000 | time_average=1.919856s
m3_med: reward_average=805.100000 | time_average=4.705692s
m4_med: reward_average=991.733333 | time_average=1.360963s
m5_med: reward_average=831.233333 | time_average=0.629642s
rl_med: reward_average=4069.300000 | time_average=0.129367s
p1_hard: reward_average=1246.900000 | time_average=0.121684s
e1_hard: reward_average=1420.233333 | time_average=0.109332s
e2_hard: reward_average=916.433333 | time_average=0.073425s
e3_hard: reward_average=915.400000 | time_average=0.530600s
e4_hard: reward_average=1558.400000 | time_average=0.087328s
e5_hard: reward_average=914.766667 | time_average=0.115298s
m1_hard: reward_average=881.500000 | time_average=1.467385s
m2_hard: reward_average=794.366667 | time_average=2.584267s
m3_hard: reward_average=796.200000 | time_average=5.579216s
m4_hard: reward_average=1220.966667 | time_average=2.429998s
m5_hard: reward_average=861.766667 | time_average=3.546482s
rl_hard: reward_average=5461.133333 | time_average=0.170579s
