Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=829.933333 | time_average=0.005976s
e1_easy: reward_average=802.100000 | time_average=0.004594s
e2_easy: reward_average=657.300000 | time_average=0.004025s
e3_easy: reward_average=551.900000 | time_average=0.004434s
e4_easy: reward_average=911.400000 | time_average=0.004885s
e5_easy: reward_average=640.166667 | time_average=0.004634s
m1_easy: reward_average=503.900000 | time_average=0.005367s
m2_easy: reward_average=572.600000 | time_average=0.004886s
m3_easy: reward_average=503.066667 | time_average=0.004945s
m4_easy: reward_average=734.233333 | time_average=0.005165s
m5_easy: reward_average=562.866667 | time_average=0.004672s
rl_easy: reward_average=1510.266667 | time_average=0.003860s
p1_med: reward_average=1203.300000 | time_average=0.006359s
e1_med: reward_average=1143.333333 | time_average=0.007188s
e2_med: reward_average=946.266667 | time_average=0.005863s
e3_med: reward_average=799.266667 | time_average=0.006357s
e4_med: reward_average=1297.266667 | time_average=0.007077s
e5_med: reward_average=910.766667 | time_average=0.006264s
m1_med: reward_average=719.133333 | time_average=0.007038s
m2_med: reward_average=801.166667 | time_average=0.007173s
m3_med: reward_average=726.066667 | time_average=0.007408s
m4_med: reward_average=1059.900000 | time_average=0.007798s
m5_med: reward_average=796.466667 | time_average=0.007164s
rl_med: reward_average=2159.200000 | time_average=0.006203s
p1_hard: reward_average=1203.900000 | time_average=0.008374s
e1_hard: reward_average=1275.333333 | time_average=0.009090s
e2_hard: reward_average=929.466667 | time_average=0.009972s
e3_hard: reward_average=781.700000 | time_average=0.009290s
e4_hard: reward_average=1206.066667 | time_average=0.013217s
e5_hard: reward_average=792.000000 | time_average=0.008594s
m1_hard: reward_average=696.000000 | time_average=0.010175s
m2_hard: reward_average=836.400000 | time_average=0.009462s
m3_hard: reward_average=759.000000 | time_average=0.010608s
m4_hard: reward_average=1176.600000 | time_average=0.010139s
m5_hard: reward_average=729.500000 | time_average=0.009769s
rl_hard: reward_average=2908.900000 | time_average=0.007474s
