Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=850.533333 | time_average=0.044713s
e1_easy: reward_average=800.566667 | time_average=0.129023s
e2_easy: reward_average=657.266667 | time_average=0.053703s
e3_easy: reward_average=646.666667 | time_average=0.112953s
e4_easy: reward_average=898.333333 | time_average=0.172541s
e5_easy: reward_average=727.833333 | time_average=0.031246s
m1_easy: reward_average=581.433333 | time_average=0.059895s
m2_easy: reward_average=604.666667 | time_average=0.059779s
m3_easy: reward_average=599.600000 | time_average=0.081646s
m4_easy: reward_average=728.100000 | time_average=0.100535s
m5_easy: reward_average=601.800000 | time_average=0.048573s
rl_easy: reward_average=2933.666667 | time_average=0.009495s
p1_med: reward_average=1221.800000 | time_average=0.073829s
e1_med: reward_average=1143.033333 | time_average=0.215037s
e2_med: reward_average=946.133333 | time_average=0.053407s
e3_med: reward_average=912.100000 | time_average=0.183734s
e4_med: reward_average=1252.200000 | time_average=0.184832s
e5_med: reward_average=1044.266667 | time_average=0.050636s
m1_med: reward_average=832.066667 | time_average=0.098580s
m2_med: reward_average=867.433333 | time_average=0.093112s
m3_med: reward_average=829.700000 | time_average=0.239377s
m4_med: reward_average=1042.133333 | time_average=0.106143s
m5_med: reward_average=853.900000 | time_average=0.069884s
rl_med: reward_average=4307.000000 | time_average=0.016019s
p1_hard: reward_average=1242.466667 | time_average=0.054518s
e1_hard: reward_average=1528.666667 | time_average=0.076546s
e2_hard: reward_average=932.566667 | time_average=0.048290s
e3_hard: reward_average=972.700000 | time_average=0.120319s
e4_hard: reward_average=1661.133333 | time_average=0.077072s
e5_hard: reward_average=1024.600000 | time_average=0.060570s
m1_hard: reward_average=912.433333 | time_average=0.064911s
m2_hard: reward_average=915.066667 | time_average=0.073553s
m3_hard: reward_average=848.400000 | time_average=0.136892s
m4_hard: reward_average=1404.800000 | time_average=0.108150s
m5_hard: reward_average=870.133333 | time_average=0.051900s
rl_hard: reward_average=5787.000000 | time_average=0.014085s
